,คำนำหน้าชื่อ,ชื่อ,สกุล,พรรค,"เริ่มทำงานสภาสมัยนี้ในฐานะสมาชิกพรรค
 (YYYY-MM-DD)"
id,title,name,lastname,party,established_date
628,ร้อยเอก,ประยุทธ,เสาวคนธ์,,2562-05-28
629,นาง,ประยูร,เหล่าสายเชื้อ,,2562-05-28
630,พลเอก ดร.,ประสาท,สุขเกษตร,,2562-05-28
631,รองศาสตราจารย์ ดร.,ประเสริฐ,ปิ่นปฐมรัฐ,,2562-05-28
632,พลตำรวจตรี,ปรัชญ์ชัย,ใจชาญสุขกิจ,,2562-05-28
633,พลเอก,ปรีชา,จันทร์โอชา,,2562-05-28
634,นาย,ปรีชา,บัววิรัตน์เลิศ,,2562-05-28
635,นาย,ปัญญา,งานเลิศ,,2562-05-28
636,พลเอก,ปัฐมพงศ์,ประถมภัฏ,,2562-05-28
637,นาย,ปานเทพ,กล้าณรงค์ราญ,,2562-05-28
638,ดร.,ปิยฉัฏฐ์,วันเฉลิม,,2562-05-28
639,นาย,ปิยพันธุ์,นิมมานเหมินท์,,2562-05-28
640,พลเอก,โปฎก,บุนนาค,,2562-05-28
641,นาง,ผาณิต,นิติทัณฑ์ประภาศ,,2562-05-28
642,แพทย์หญิง คุณหญิง,พรทิพย์,โรจนสุนันท์,,2562-05-28
643,พลเอก,พรพิพัฒน์,เบญญศรี,,2562-05-28
644,นาย,พรเพชร,วิชิตชลชัย,,2562-05-28
645,นายแพทย์,พลเดช,ปิ่นประทีป,,2562-05-28
646,พลเรือเอก,พะจุณณ์,ตามประทีป,,2562-05-28
647,พลเรือเอก,พัลลภ,ตมิศานนท์,,2562-05-28
648,นาง,พิกุลแก้ว,ไกรฤกษ์,,2562-05-28
649,นาย,พิทักษ์,ไชยเจริญ,,2562-05-28
